   433.083160       668.747498       564.084167       733.904785       845.411560       662.100464       809.726196       269.204071       569.035217       256.287567       587.328918       395.886749    
   508.943085       898.703674       799.052124       198.441772       794.487244       860.569946       558.062683       419.527496       384.140045       500.514099       946.469482       849.499146    
   446.923096       514.549683       741.824585       857.107361       284.176971       341.473846       808.366211       582.484924       722.781189       269.157928       752.046143       334.252258    
   586.631042       6.54257154       377.324646       87.5777740       392.149750       390.862823       851.230713       17.7432308       1.57895637       527.573730       490.163879       680.763123    
   302.445679       523.681274       827.657837       203.388947       81.2611771       281.632324       94.4262848       619.601074       49.2522049       629.359802       42.1387138       122.816292    
   102.820053       349.968170       510.551788       532.769897       401.590332       621.650391       928.366028       990.775085       689.934937       742.763611       110.373100       256.521484    
   801.676880       590.610352       844.640320       106.775513       130.263885       970.372925       288.821716       833.747864       478.964417       427.744598       508.189117       364.123169    
   422.957642       768.361572       449.979248       576.161682       405.028931       269.387054       401.781342       279.319702       853.861816       955.590271       627.495300       447.778351    
   317.325287       182.037888       641.556396       248.067444       415.239014       309.749969       390.465424       376.119507       342.660034       818.275452       46.6020927       330.837189    
   187.178223       351.753998       27.4496098       877.475830       941.854492       301.002686       127.985039       421.229004       880.300171       867.033569       594.749695       880.525330    
   612.037842       509.957001       880.674255       896.938232       607.336487       268.192841       127.271988       266.673584       607.573608       426.889832       925.199097       311.288177    
   105.103722       99.0916977       240.968658       806.162170       837.107910       50.0855980       957.448608       420.277588       833.333557       369.182648       192.297485       859.400513    
