   196.638687       989.638245       923.227600       280.437500       227.096680       104.104675       912.144714       58.1010742       857.377441       34.9818764       266.014252    
   45.1386528       154.293472       168.808105       777.665100       161.264587       952.581604       965.313416       470.504425       512.354248       108.739426       590.546570    
   687.228271       281.222290       936.352173       240.594421       239.106262       508.296173       9.62777901       887.983521       111.139511       248.963821       907.074890    
   40.6242485       524.689026       94.7633133       424.348694       209.744553       664.583557       442.986938       299.164398       438.157593       419.717804       847.139832    
   900.647156       20.9630108       301.448425       506.104797       370.418213       637.335632       56.9924622       939.019226       830.580688       57.9207726       268.713654    
   460.269104       706.060120       196.399734       734.653992       55.4270859       313.223999       573.239380       53.8764114       116.149506       844.479065       445.430969    
   915.328918       529.020813       534.827087       285.312988       742.071655       691.965149       171.733673       487.307373       741.539734       639.162170       327.804260    
   205.584793       750.764893       591.240662       475.525726       767.295166       924.980591       846.816040       712.266235       314.767334       554.435242       165.936371    
   539.903442       735.076965       722.348206       209.936996       283.596283       860.282227       374.047699       855.570129       84.9754181       627.260864       250.531296    
   752.870544       844.284241       142.295441       256.252808       307.222748       93.1173096       571.503967       483.423920       813.491028       632.907837       772.251160    
   650.581970       895.583801       606.530701       423.425079       363.840271       450.044220       145.688019       952.354736       879.050659       46.9754410       782.649048    
