   558.340210       576.031738       612.934631       706.613342       984.981567       795.100342       210.977493       181.795181       564.737793       259.583496       897.301086       444.550995       233.803360       469.494354    
   53.1262627       257.658722       855.761047       40.1197815       361.045502       770.526245       703.867371       665.578796       781.105835       300.814209       953.011475       159.157516       545.210205       61.9054642    
   280.511078       794.324890       532.786926       987.039978       169.834427       319.834686       342.952087       111.173386       324.996948       145.282333       561.098083       872.178101       634.903564       407.630157    
   305.232513       816.525085       531.106140       960.724121       482.681915       842.745667       770.612671       396.551331       525.236206       743.452820       747.113159       363.262512       340.252869       355.638306    
   730.254883       655.624878       515.725525       909.888062       452.583984       172.943573       424.873932       790.820190       405.646667       211.142075       321.742401       830.989502       415.603241       104.605568    
   213.969559       232.399826       113.194168       323.558746       744.232300       120.148254       809.519958       296.653992       914.644287       681.203247       880.002319       451.458160       338.351349       631.724243    
   734.055054       402.067657       231.603653       535.832825       364.321869       601.208191       251.792877       613.814209       247.587265       527.647034       852.608643       815.795471       261.541412       401.233368    
   881.741516       831.198669       658.921021       908.489197       668.979065       447.943451       353.679840       122.127472       914.419434       563.550598       567.048767       653.302490       648.589172       925.782715    
   693.398438       535.100586       359.578339       705.488464       660.963562       478.456299       104.891212       886.540588       611.006531       477.922791       221.334518       564.072144       688.127991       506.784210    
   200.645828       829.356018       669.487854       602.065735       723.306641       601.868225       293.399902       608.937256       230.263229       705.284607       996.568359       596.424316       242.909348       293.298370    
   888.697388       18.6088371       665.993347       606.634033       75.8733063       316.760376       640.709473       332.536896       552.231140       187.174179       545.485352       650.969299       779.188293       637.070190    
   945.743164       224.445923       517.281494       677.270081       16.5273209       824.004944       623.863220       327.300934       858.271362       960.391724       729.836121       255.106262       796.347656       318.388214    
   873.353088       702.788269       745.379761       50.4192886       109.112000       615.047363       745.696106       696.958618       991.621094       855.231567       655.995728       234.525284       345.367493       601.312988    
   463.948029       493.518341       639.111694       277.373474       943.975159       654.811523       965.075806       1.07216859       469.395233       37.3231888       910.305542       785.457703       790.059448       690.804565    
